NOM_TURNO,COLONIA,SOSTENIMIENTO,NIVEL,PROGRAMA,DESERCION_INTRACURRICULAR,REPROBACION,REPROBACION_CON_REGULARIZADOS,EFICIENCIA_TERMINAL
MATUTINO,9069,ESTATAL,SECUNDARIA,TECNICA,0.0044,0.0817,0.0574,0.7451
VESPERTINO,9069,ESTATAL,SECUNDARIA,TECNICA,0.0762,0.1649,0.0722,0.7887
MATUTINO,9444,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9000,PARTICULAR,SECUNDARIA,GENERAL,0.0041,0.0021,0.0,1.0
MATUTINO,0,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0538,0.0215,0.9118
MATUTINO,9435,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9014,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.8302
MATUTINO,9338,PARTICULAR,SECUNDARIA,GENERAL,0.0183,0.1121,0.0374,0.9545
MATUTINO,9029,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.8108
MATUTINO,9415,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.9667
MATUTINO,9077,PARTICULAR,SECUNDARIA,GENERAL,0.0028,0.0815,0.0253,0.9837
MATUTINO,9076,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9424,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.9545
MATUTINO,9424,PARTICULAR,SECUNDARIA,GENERAL,0.0123,0.0994,0.0311,0.9912
MATUTINO,9424,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,1.0
MATUTINO,9424,PARTICULAR,SECUNDARIA,GENERAL,0.0303,0.0,0.0,0.9333
MATUTINO,9018,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.7857
MATUTINO,9404,PARTICULAR,SECUNDARIA,GENERAL,0.0,0.0,0.0,0.9223
VESPERTINO,9404,PARTICULAR,SECUNDARIA,GENERAL,0.0569,0.0,0.0,0.8312
